groups,genotype,dss,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
b6_hbdss,b6,yes,yes,578496446,44751,1.53E+11,69480941,229848,589474039,217946377,867688866,4
b6_hbdss,b6,yes,yes,1230700375,75503,2.46E+11,287608742,387796,1431222061,1422524870,8733394196,5
b6_hbdss,b6,yes,yes,3944142055,430991,8.5E+11,2452797783,6625009,3270945889,2335399038,53631789488,6
b6_hbdss,b6,yes,yes,1546575779,76872,2.97E+11,941306170,394827,1166559066,916413559,24830723667,7
b6_hbdss,b6,yes,yes,1791422134,88231,367937087,331795144,453168,206951688,1076898077,2453611204,8
b6_hbdss,b6,yes,yes,9629029525,207498,5.17E+11,3106516721,452193,4302569666,2900014094,36167779620,9
b6_hbdss,b6,yes,yes,3990539220,260221,6.84E+11,3940105411,1336532,2264480596,1397249525,14532163727,10
b6_hbdss,b6,yes,yes,4057416793,88499,4.04E+11,2213304513,454543,3895863872,5870233214,38409509926,11
b6_hbdss,b6,yes,yes,13632949132,221867,7.24E+11,5675114391,1139539,2072315371,4236741700,21912563469,12
rag_nodss,rag,no,no,1015273926,6089.34,30485366324,1526228369,1956029375,251150123.1,3457099338,4184744618,1
rag_nodss,rag,no,no,932669484.8,18362.28,44632618182,1961859653,1269562207,223034420.7,3479329202,4377200879,2
rag_nodss,rag,no,no,755615064.7,8920.82,31211096836,2392171696,1235847319,206764358,3617352123,3011154909,3
rag_nodss,rag,no,no,418412564,4776.78,20137771248,1181944551,614164432.4,424837439.7,1976472901,1769042529,4
rag_nodss,rag,no,no,463073155.9,8718.8,71833047997,3428400924,938249174.6,677634895.2,2305813867,2691547094,5
rag_nodss,rag,no,no,1357074554,88440.93,65989637461,2346965287,2624387043,248741445.7,3725929603,3111436239,6
rag_nodss,rag,no,no,975522460.7,6590.12,66965951798,3528937056,1182073899,378180711.8,2367352486,3585587583,7
rag_nodss,rag,no,no,909261586.7,9076.66,54277996029,3029090173,1190696850,389810983.3,2908056040,2909910612,8
rag_nodss,rag,no,no,1154133990,9221.02,35724378761,3008749008,1588834143,711854014.3,4094748282,4225362166,9
rag_nodss,rag,no,no,679392690.2,8789.63,72627929955,8002630841,906011690,1248855794,3157479082,2997601717,10
rag_nodss,rag,no,no,705656373.4,49514.1,36868178007,1978718506,1114674325,550172612.3,2852023284,2647428961,11
rag_dss,rag,yes,no,1939273944,14755.86,81802646977,1612791434,3185989.79,988782545.2,9082049905,8167511879,1
rag_dss,rag,yes,no,798216200.2,10679.33,14795173102,635502682.2,1340360.75,249196554.1,4663200425,3592364587,2
rag_dss,rag,yes,no,641276075.5,9459.4,18108192802,1099059454,1331693.91,1050884720,4359020320,4921974777,3
rag_dss,rag,yes,no,857888189.3,11833.21,34358565219,1256443523,121554.12,234088142.1,5434582549,4412538459,4
